store_id,city,state,store_name,category,address,phone,rating,review_count,maps_search_url,checked_date,record_type,part_id,part_name,part_search_term,availability_status,part_store_maps_search_url,mapping_note,price_min_inr,price_typical_inr,price_max_inr,price_confidence,price_basis,price_as_of,school_project_price_inr,school_price_note
BLR-001,Bengaluru,Karnataka,Probots Electronics India Pvt Ltd,Electronic parts supplier,"Sankalpa 530, GF & 1F, 5th Cross Road, Vinayaka Layout, 9th Block, 2nd Stage, Nagarbhavi, Bengaluru, Karnataka 560072",+91 86180 50706,4.6,648,https://www.google.com/maps/search/?api=1&query=Probots+Electronics+India+Pvt+Ltd+Bengaluru,2026-08-30,store_directory,,,,,,Original Bengaluru robotics/electronics store seed.,,,,,,,,
BLR-002,Bengaluru,Karnataka,Robocraze Warehouse,Electronic parts supplier,"Ground Floor, 912/10, 4th G Main Rd, Chellikere, Chelekare, Kalyan Nagar, Bengaluru, Karnataka 560043",+91 81230 57137,4.6,3285,https://www.google.com/maps/search/?api=1&query=Robocraze+Warehouse+Bengaluru,2026-08-30,store_directory,,,,,,Original Bengaluru robotics/electronics store seed.,,,,,,,,
BLR-003,Bengaluru,Karnataka,Sri Lakshmi Electronics - A Robotics Shop,Electronics store,"Ground floor, Sabari Complex, 66, Sadar Patrappa Rd, Kumbarpet, Nagarathpete, Bengaluru, Karnataka 560002",,4.7,26,https://www.google.com/maps/search/?api=1&query=Sri+Lakshmi+Electronics+A+Robotics+Shop+Bengaluru,2026-08-30,store_directory,,,,,,Original Bengaluru robotics/electronics store seed.,,,,,,,,
BLR-004,Bengaluru,Karnataka,Silverline Electronics,Electronic parts supplier,"No.139/5, VT Complex, Sadar Patrappa Rd, Kumbarpet, Nagarathpete, Bengaluru, Karnataka 560002",+91 80 4112 4985,4.3,525,https://www.google.com/maps/search/?api=1&query=Silverline+Electronics+SP+Road+Bengaluru,2026-08-30,store_directory,,,,,,Original Bengaluru robotics/electronics store seed.,,,,,,,,
BLR-005,Bengaluru,Karnataka,Robojung Robotics Components,Electronic parts supplier,"77/1/7, 11th Main Road, 5th Cross, Begur Rd, Hongasandra, Bengaluru, Karnataka 560068",+91 91401 85377,5.0,15,https://www.google.com/maps/search/?api=1&query=Robojung+Robotics+Components+Bengaluru,2026-08-30,store_directory,,,,,,Original Bengaluru robotics/electronics store seed.,,,,,,,,
BLR-006,Bengaluru,Karnataka,Hands on STEM Labs,Educational supply store,"2nd floor, No 470, Double Rd, Narayana Nagar 1st Block, Konanakunte, Bengaluru, Karnataka 560062",+91 63612 08334,4.9,83,https://www.google.com/maps/search/?api=1&query=Hands+on+STEM+Labs+Bengaluru,2026-08-30,store_directory,,,,,,Original Bengaluru robotics/electronics store seed.,,,,,,,,
BLR-007,Bengaluru,Karnataka,OL Electronics Bengaluru,Electronic parts supplier,"20, 1st Floor, Neeladri Complex, 10th Cross, Sampige Rd, 2nd Main, Malleshwaram, Bengaluru, Karnataka 560003",+91 89511 85550,5.0,7,https://www.google.com/maps/search/?api=1&query=OL+Electronics+Bengaluru,2026-08-30,store_directory,,,,,,Original Bengaluru robotics/electronics store seed.,,,,,,,,
BLR-008,Bengaluru,Karnataka,Vishal Electronics,Electronics store,"139/7, Sadar Patrappa Rd, Kumbarpet, Nagarathpete, Bengaluru, Karnataka 560002",+91 98450 72496,3.9,5093,https://www.google.com/maps/search/?api=1&query=Vishal+Electronics+SP+Road+Bengaluru,2026-08-30,store_directory,,,,,,Original Bengaluru robotics/electronics store seed.,,,,,,,,
BLR-005,Bengaluru,Karnataka,Robojung Robotics Components,Electronic parts supplier,"77/1/7, 11th Main Road, 5th Cross, Begur Rd, Hongasandra, Bengaluru, Karnataka 560068",+91 91401 85377,5.0,15,https://www.google.com/maps/search/?api=1&query=Robojung+Robotics+Components+Bengaluru,2026-08-30,part_search_seed,MECH-005,608 Ball Bearing,608 Ball Bearing,unverified_search_seed,https://www.google.com/maps/search/?api=1&query=Robojung+Robotics+Components+608+Ball+Bearing+Bengaluru,Suggested local store to ask/search first based on store type; this does not claim current stock.,50,50,50,Low,Category-based India market estimate,2026-08-30,50,School-project baseline: minimum practical/entry-level price used; premium/industrial variants excluded.
BLR-005,Bengaluru,Karnataka,Robojung Robotics Components,Electronic parts supplier,"77/1/7, 11th Main Road, 5th Cross, Begur Rd, Hongasandra, Bengaluru, Karnataka 560068",+91 91401 85377,5.0,15,https://www.google.com/maps/search/?api=1&query=Robojung+Robotics+Components+Bengaluru,2026-08-30,part_search_seed,MECH-006,Aluminium Extrusion 2020/2040,Aluminium Extrusion 2020/2040,unverified_search_seed,https://www.google.com/maps/search/?api=1&query=Robojung+Robotics+Components+Aluminium+Extrusion+2020%2F2040+Bengaluru,Suggested local store to ask/search first based on store type; this does not claim current stock.,50,50,50,Low,Category-based India market estimate,2026-08-30,50,School-project baseline: minimum practical/entry-level price used; premium/industrial variants excluded.
