part_id,part_name,category,kid_friendly_name,what_it_does,skill_level,voltage,usual_qty,buy_search_term,compatible_with,example_projects,common_mistake,safety_note,online_search_robu,online_search_robocraze,online_search_amazon_in,local_store_search_term,priority,applicable_robot_types,why_add,source_gap_id
CTRL-001,Arduino Uno R3,Controllers,The robot's brain,Reads sensors and controls outputs,Beginner,5V,1,Arduino Uno R3 compatible board,Most 5V Arduino modules,Obstacle Robot; Plant Watering,Powering motors directly,Use regulated power,https://robu.in/?s=Arduino+Uno+R3+compatible+board&post_type=product,https://robocraze.com/search?q=Arduino+Uno+R3+compatible+board,https://www.amazon.in/s?k=Arduino+Uno+R3+compatible+board,Arduino Uno R3 compatible board,Legacy/Core,General / Beginner Robotics,Existing catalog item,
CTRL-002,Arduino Nano,Controllers,A tiny Arduino brain,Arduino control in a compact board,Beginner,5V,1,Arduino Nano ATmega328P,Most 5V Arduino modules,Mini Robot; Sensor Station,Buying unsoldered headers,Avoid shorts,https://robu.in/?s=Arduino+Nano+ATmega328P&post_type=product,https://robocraze.com/search?q=Arduino+Nano+ATmega328P,https://www.amazon.in/s?k=Arduino+Nano+ATmega328P,Arduino Nano ATmega328P,Legacy/Core,General / Beginner Robotics,Existing catalog item,
CTRL-003,ESP32 Dev Board,Controllers,A brain with Wi-Fi,Controls electronics with Wi-Fi and Bluetooth,Intermediate,3.3V logic,1,ESP32 DevKit V1,3.3V modules,Wi-Fi Robot; IoT Monitor,Applying 5V to GPIO,GPIO generally not 5V tolerant,https://robu.in/?s=ESP32+DevKit+V1&post_type=product,https://robocraze.com/search?q=ESP32+DevKit+V1,https://www.amazon.in/s?k=ESP32+DevKit+V1,ESP32 DevKit V1,Legacy/Core,General / Beginner Robotics,Existing catalog item,
CTRL-004,BBC micro:bit V2,Controllers,A kid-friendly brain,Combines coding with built-in sensors and LEDs,Beginner,3V,1,BBC microbit V2,micro:bit accessories,Mini Rover; Reaction Game,Connecting motors directly,Use a motor driver,https://robu.in/?s=BBC+microbit+V2&post_type=product,https://robocraze.com/search?q=BBC+microbit+V2,https://www.amazon.in/s?k=BBC+microbit+V2,BBC microbit V2,Legacy/Core,General / Beginner Robotics,Existing catalog item,
SNS-001,HC-SR04 Ultrasonic Sensor,Sensors,Robot distance eyes,Measures distance using sound,Beginner,5V,1,HC-SR04 ultrasonic distance sensor,Arduino; ESP32 with adaptation,Obstacle Robot; Parking Sensor,Mixing Trigger and Echo,Keep dry,https://robu.in/?s=HC-SR04+ultrasonic+distance+sensor&post_type=product,https://robocraze.com/search?q=HC-SR04+ultrasonic+distance+sensor,https://www.amazon.in/s?k=HC-SR04+ultrasonic+distance+sensor,HC-SR04 ultrasonic distance sensor,Legacy/Core,General / Beginner Robotics,Existing catalog item,
SNS-002,IR Obstacle Sensor,Sensors,Nearby-object detector,Detects reflected infrared light,Beginner,3.3-5V,1,IR obstacle avoidance sensor module,Arduino; ESP32,Obstacle Robot; Counter,Expecting precise distance,Sunlight can affect readings,https://robu.in/?s=IR+obstacle+avoidance+sensor+module&post_type=product,https://robocraze.com/search?q=IR+obstacle+avoidance+sensor+module,https://www.amazon.in/s?k=IR+obstacle+avoidance+sensor+module,IR obstacle avoidance sensor module,Legacy/Core,General / Beginner Robotics,Existing catalog item,
SNS-003,IR Line Sensor,Sensors,Helps a robot see a line,Detects light/dark floor reflectivity,Beginner,3.3-5V,2,IR line tracking sensor module,Arduino; ESP32,Line Follower,Mounting too far from floor,Test before running,https://robu.in/?s=IR+line+tracking+sensor+module&post_type=product,https://robocraze.com/search?q=IR+line+tracking+sensor+module,https://www.amazon.in/s?k=IR+line+tracking+sensor+module,IR line tracking sensor module,Legacy/Core,General / Beginner Robotics,Existing catalog item,
SNS-004,LDR Photoresistor,Sensors,Notices light and darkness,Changes resistance with light,Beginner,Passive,1,5mm LDR photoresistor,Arduino analog; ESP32 ADC,Night Light; Light Meter,Forgetting divider resistor,Low risk,https://robu.in/?s=5mm+LDR+photoresistor&post_type=product,https://robocraze.com/search?q=5mm+LDR+photoresistor,https://www.amazon.in/s?k=5mm+LDR+photoresistor,5mm LDR photoresistor,Legacy/Core,General / Beginner Robotics,Existing catalog item,
SNS-005,DHT11 Module,Sensors,Temperature and humidity sensor,Measures basic room conditions,Beginner,3.3-5V,1,DHT11 temperature humidity module,Arduino; ESP32,Weather Station,Reading too frequently,Keep dry,https://robu.in/?s=DHT11+temperature+humidity+module&post_type=product,https://robocraze.com/search?q=DHT11+temperature+humidity+module,https://www.amazon.in/s?k=DHT11+temperature+humidity+module,DHT11 temperature humidity module,Legacy/Core,General / Beginner Robotics,Existing catalog item,
SNS-006,HC-SR501 PIR,Sensors,People-motion detector,Detects infrared changes from movement,Beginner,5V typical,1,HC-SR501 PIR motion sensor,Arduino; ESP32,Motion Alarm; Auto Light,Expecting stationary detection,Not security-grade,https://robu.in/?s=HC-SR501+PIR+motion+sensor&post_type=product,https://robocraze.com/search?q=HC-SR501+PIR+motion+sensor,https://www.amazon.in/s?k=HC-SR501+PIR+motion+sensor,HC-SR501 PIR motion sensor,Legacy/Core,General / Beginner Robotics,Existing catalog item,
